driverId.int32(),driverRef.string(),nationality.string()
632,frere,Belgian
633,villoresi,Italian
634,scotti,Italian
635,chapman,British
636,titterington,British
637,scott_Brown,British
638,volonterio,Swiss
639,milhoux,Belgian
640,graffenried,Swiss
641,taruffi,Italian
642,farina,Italian
643,mieres,Argentine
644,mantovani,Italian
645,bucci,Argentine
646,iglesias,Argentine
647,ascari,Italian
648,kling,German
649,birger,Argentine
650,pollet,French
651,macklin,British
652,whiteaway,British
653,davies,American
654,faulkner,American
655,niday,American
656,cross,American
657,vukovich,American
658,mcgrath,American
659,hoyt,American
660,claes,Belgian
661,peter_walker,British
662,sparken,French
663,wharton,British
664,mcalpine,British
665,marr,British
666,rolt,British
667,fitch,American
668,lucas,French
669,bira,Thai
670,marimon,Argentine
671,loyer,French
672,daponte,Argentine
673,nazaruk,American
674,crockett,American
675,ayulo,American
676,armi,American
677,webb,American
678,duncan,American
679,mccoy,American
680,swaters,American
681,georges_berger,Belgian
682,beauman,British
683,thorne,British
684,whitehouse,British
685,riseley_prichard,British
686,reg_parnell,British
687,whitehead,British
688,brandon,British
689,alan_brown,British
690,nuckey,British
691,lang,German
692,helfrich,German
693,wacker,American
694,riu,Italian
695,galvez,Argentine
696,john_barber,British
697,bonetto,Italian
698,cruz,Argentine
699,nalon,American
700,scarborough,American
701,holland,American
702,bob_scott,American
703,legat,Belgian
704,cabantous,French
705,crook,British
706,jimmy_stewart,British
707,ian_stewart,British
708,duncan_hamilton,British
709,klodwig,East German
710,krause,East German
711,karch,German
712,heeks,German
713,fitzau,East German
714,adolff,German
715,bechem,German
716,bauer,German
717,hans_stuck,German
718,loof,German
719,scherrer,Swiss
720,terra,Swiss
721,hirt,Swiss
722,carini,Italian
723,fischer,Swiss
724,ulmen,German
725,abecassis,British
726,george_connor,American
727,rigsby,American
728,james,American
729,schindler,American
730,fonder,American
731,banks,American
732,mcdowell,American
733,miller,American
734,ball,American
735,tornaco,Belgian
736,laurent,Belgian
737,obrien,American
738,gaze,Australian
739,charrington,British
740,comotti,Italian
741,etancelin,French
742,poore,British
743,thompson,British
744,downing,British
745,graham_whitehead,British
746,bianco,Brazilian
747,murray,British
748,cantoni,Uruguayan
749,aston,British
750,brudes,German
751,riess,German
752,niedermayr,German
753,klenk,German
754,balsa,French
755,schoeller,Swiss
756,pietsch,German
757,peters,German
758,lof,Dutch
759,flinterman,Dutch
760,dusio,Italian
761,crespo,Argentine
762,rol,Italian
763,sanesi,Italian
764,guy_mairesse,French
765,louveau,French
766,wallard,American
767,forberg,American
768,rose,American
769,mackey,American
770,green,American
771,walt_brown,American
772,hellings,American
773,levegh,French
774,chaboud,French
775,gordini,French
776,kelly,Irish
777,parker,British
778,shawe_taylor,British
779,john_james,British
780,branca,Swiss
781,richardson,British
782,jover,Spanish
783,grignard,French
784,hampshire,British
785,crossley,British
786,fagioli,Italian
787,harrison,British
788,fry,British
789,martin,French
790,leslie_johnson,British
791,biondetti,Italian
792,pian,Argentine
793,sommer,French
794,chitwood,American
795,fohr,American
796,ader,American
797,holmes,American
798,levrett,American
799,jackson,American
800,pagani,Italian
801,pozzi,French
802,serafini,Italian
803,cantrell,American
804,mantz,American
805,kladis,American
806,oscar_gonzalez,Uruguayan
807,hulkenberg,German
808,petrov,Russian
810,grassi,Brazilian
811,bruno_senna,Brazilian
812,chandhok,Indian
813,maldonado,Venezuelan
814,resta,British
815,perez,Mexican
816,ambrosio,Belgian
817,ricciardo,Australian
818,vergne,French
819,pic,French
820,chilton,British
821,gutierrez,Mexican
822,bottas,Finnish
823,garde,Dutch
824,jules_bianchi,French
825,kevin_magnussen,Danish
826,kvyat,Russian
827,lotterer,German
828,ericsson,Swedish
829,stevens,British
830,max_verstappen,Dutch
831,nasr,Brazilian
832,sainz,Spanish
833,merhi,Spanish
834,rossi,American
835,jolyon_palmer,British
836,wehrlein,German
837,haryanto,Indonesian
838,vandoorne,Belgian
839,ocon,French
840,stroll,Canadian
841,giovinazzi,Italian
843,brendon_hartley,New Zealander
